URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/consent-data-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.759",ConsentDataMeaning,ConsentDataMeaning,"How a resource reference is interpreted when testing consent restrictions.","StructureDefinition/GEM-ERPEU-PR-Consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-provision-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.757",ConsentProvisionType,ConsentProvisionType,"How a rule statement is applied, such as adding additional consent or removing consent.","StructureDefinition/GEM-ERPEU-PR-Consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-scope,4.0.1,draft,"2.16.840.1.113883.4.642.3.761",ConsentScopeCodes,Consent Scope Codes,"This value set includes the four Consent scope codes.","StructureDefinition/GEM-ERPEU-PR-Consent","THO"
http://hl7.org/fhir/ValueSet/consent-state-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.755",ConsentState,ConsentState,"Indicates the state of the consent.","StructureDefinition/GEM-ERPEU-PR-Consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/GEM-ERPEU-PR-PractitionerRole","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/GEM-ERPEU-PR-PractitionerRole","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/GEM-ERPEU-PR-Organization","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/GEM-ERPEU-PR-PractitionerRole","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/GEM-ERP-PR-Communication-Reply,StructureDefinition/GEM-ERP-PR-Communication-DispReq,StructureDefinition/GEM-ERP-PR-Communication","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/GEM-ERP-PR-Bundle-OP-Accept","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/GEM-ERPEU-PR-PractitionerRole,StructureDefinition/GEM-ERPEU-PR-Organization,StructureDefinition/GEM-ERPEU-PR-Practitioner,StructureDefinition/GEM-ERPEU-PR-AccessCode,StructureDefinition/GEM-ERPEU-EX-MedicinalPackageIdentifier","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/GEM-ERPEU-PR-PractitionerRole,StructureDefinition/GEM-ERPEU-PR-Organization,StructureDefinition/GEM-ERPEU-PR-Practitioner,StructureDefinition/GEM-ERPEU-PR-AccessCode,StructureDefinition/GEM-ERPEU-PR-Consent,StructureDefinition/GEM-ERPEU-EX-MedicinalPackageIdentifier","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/iso3166-1-2,4.0.1,active,,Iso3166-1-2,Iso 3166 Part 1: 2 Letter Codes,"This value set defines the ISO 3166 Part 1 2-letter codes","StructureDefinition/GEM-ERPEU-PR-Organization,StructureDefinition/GEM-ERPEU-PR-PAR-Close-Operation-Input,StructureDefinition/GEM-ERPEU-PR-PAR-EU-GET-Prescription-Input,StructureDefinition/GEM-ERPEU-PR-PAR-AccessAuthorization-Request,StructureDefinition/GEM-ERPEU-PR-PAR-AccessAuthorization-Response","Other"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/GEM-ERP-PR-PAR-Close-Operation-Input,StructureDefinition/GEM-ERP-PR-PAR-Activate-Operation-Input,StructureDefinition/GEM-ERP-PR-Bundle-OP-Accept,StructureDefinition/GEM-ERPEU-PR-Organization,StructureDefinition/GEM-ERP-PR-Medication,StructureDefinition/GEM-ERPEU-PR-Consent,StructureDefinition/GEM-ERPEU-PR-PAR-PATCH-Task-Input,StructureDefinition/GEM-ERPEU-PR-Medication,StructureDefinition/GEM-ERP-PR-PAR-Dispense-Operation-Input,StructureDefinition/GEM-ERP-PR-Communication-Reply,StructureDefinition/GEM-ERPEU-PR-MedicationDispense,StructureDefinition/GEM-ERPEU-PR-Practitioner,StructureDefinition/GEM-ERPEU-PR-PAR-Close-Operation-Input,StructureDefinition/GEM-ERP-PR-MedicationDispense,StructureDefinition/GEM-ERPEU-PR-PAR-EU-GET-Prescription-Input,StructureDefinition/GEM-ERP-PR-PAR-Accept-Operation-Output,StructureDefinition/GEM-ERPEU-PR-PAR-AccessAuthorization-Response,StructureDefinition/GEM-ERP-PR-PAR-Create-Operation-Input,StructureDefinition/GEM-ERP-PR-Communication,StructureDefinition/GEM-ERP-PR-Task,StructureDefinition/GEM-ERPEU-PR-PAR-AccessAuthorization-Request,StructureDefinition/GEM-ERP-PR-PAR-Activate-Operation-Output,StructureDefinition/GEM-ERP-PR-PAR-Close-Operation-Output,StructureDefinition/gem-erpeu-pr-par-get-prescription-output,StructureDefinition/GEM-ERPEU-PR-PractitionerRole,StructureDefinition/GEM-ERP-PR-Communication-DispReq,StructureDefinition/GEM-ERP-PR-PAR-Create-Operation-Output","hl7.fhir.uv.xver-r5.r4"
