old_req,title
A_19715,E-Rezept-Fachdienst – Konsistenter Systemzustand des Verarbeitungskontextes der VAU
A_19716,E-Rezept-Fachdienst – Datenschutzkonformes Logging und Monitoring des Verarbeitungskontextes der VAU
A_19719,E-Rezept-Fachdienst – Verarbeitungskontexte der VAU über gemeinsame Host-Adressen erreichbar
A_19724,E-Rezept-Fachdienst – Identität des Verarbeitungskontextes für Clients
A_19721,E-Rezept-Fachdienst – Sicherer Kanal zum Verarbeitungskontext der VAU auf Inhaltsebene
A_19722,E-Rezept-Fachdienst – Automatisierter Abbau des sicheren Kanals
A_27560,E-Rezept-Fachdienst - Pseudonymisieren der gematik-Logdaten - Geheimer Schlüssel für  nur in VAU
A_27561,E-Rezept-Fachdienst - Pseudonymisieren der gematik-Logdaten - Möglichkeit zum Einbringen des Schlüssels im 4-Augen-Prinzip
A_27562,Anbieter E-Rezept-Fachdienst - Pseudonymisieren der gematik-Logdaten - Einbringen des Schlüssels im 4-Augen-Prinzip
A_27563,Anbieter E-Rezept-Fachdienst - Pseudonymisieren der gematik-Logdaten - unverzüglicher Schlüsselwechsel
A_23501,E-Rezept-Fachdienst – VSDM HMAC-Schlüssel - Verarbeitung in VAU
A_23482,Anbieter E-Rezept-Fachdienst - Bereitstellung Exportpaket VSDM HMAC-Schlüssel
A_23483,Anbieter E-Rezept-Fachdienst - Prüfung Exportpaket VSDM HMAC-Schlüssel
A_23492,E-Rezept-Fachdienst - VSDM HMAC-Schlüssel - Exportpaket einbringen
A_23493,E-Rezept-Fachdienst - VSDM HMAC-Schlüssel - Prüfung
A_23484,Anbieter E-Rezept-Fachdienst - Prüfung Exportpaket VSDM HMAC-Schlüssel - Information Fachdienstbetreiber VSDM
A_23485,Anbieter E-Rezept-Fachdienst - Löschen VSDM HMAC-Schlüssel
A_23486,E-Rezept-Fachdienst - VSDM HMAC-Schlüssel - Ausgabe
A_25200,E-Rezept-Fachdienst - Status AcceptPN3
A_25201,E-Rezept-Fachdienst - Status AcceptPN3Automatic
A_25202,E-Rezept-Fachdienst - Konfigurationsparameter NumberApothekenPN3
A_25203,"E-Rezept-Fachdienst - Betrieblicher Prozess Änderung AcceptPN3, AcceptPN3Automatic, NumberApothekenPN3"
A_25371,E-Rezept-Fachdienst - Konfigurationsparameter AcceptPN3Interval
A_25372,E-Rezept-Fachdienst - AcceptPN3 - Anzahl Apotheken mit PN3
A_25204,E-Rezept-Fachdienst - AcceptPN3 - automatisch Aktivieren
A_25205,E-Rezept-Fachdienst - AcceptPN3 - automatisch Deaktivieren
A_23333,"E-Rezept - Übergangszeit Packages ""kbv.ita.erp 1.0.2"""
A_22927-02,E-Rezept-Fachdienst - FHIR-Ressource validieren - Ausschluss unspezifizierter Extensions
A_19282,E-Rezept-Fachdienst - Systemprotokoll für Betriebszustand
A_19283,E-Rezept-Fachdienst - Systemprotokoll ohne personenbezogene und ohne medizinische Daten
A_19678,E-Rezept-Fachdienst -Systemprotokoll  Verfügbarkeit interner Logdaten
A_20001,E-Rezept-Fachdienst -Systemprotokoll zu Ergebnis einer aufgerufenen Operation
A_21267-01,Prozessparameter - Berechtigungen für Nutzer
